Country Name,Year,Country Code,Value
Argentina,2018,AR,4.87773990631104
Argentina,2019,AR,4.7716498374939
Argentina,2020,AR,5.27689981460571
Argentina,2021,AR,4.64117002487183
Argentina,2022,AR,4.80521011352539
Australia,2018,AU,5.40967607498169
Australia,2019,AU,5.50858879089355
Australia,2020,AU,5.37828016281128
Australia,2021,AU,5.33320999145508
Australia,2022,AU,5.20677661895752
Belgium,2018,BE,6.38107013702393
Belgium,2019,BE,6.33397006988525
Belgium,2020,BE,6.80185985565186
Belgium,2021,BE,6.35551977157593
Belgium,2022,BE,
Canada,2018,CA,4.8889799118042
Canada,2019,CA,4.77293014526367
Canada,2020,CA,4.88794994354248
Canada,2021,CA,4.74860000610352
Canada,2022,CA,4.13957166671753
China (Mainland),2018,CN,4.02442407608032
China (Mainland),2019,CN,4.05939483642578
China (Mainland),2020,CN,4.2333812713623
China (Mainland),2021,CN,3.98832511901855
China (Mainland),2022,CN,4.02356958389282
Denmark,2018,DK,7.29690980911255
Denmark,2019,DK,7.25505018234253
Denmark,2020,DK,7.38354015350342
Denmark,2021,DK,6.99992990493774
Denmark,2022,DK,5.29643440246582
France,2018,FR,5.40716981887817
France,2019,FR,5.35443019866943
France,2020,FR,5.65981006622314
France,2021,FR,5.43038988113403
France,2022,FR,
Germany,2018,DE,4.97933006286621
Germany,2019,DE,5.11552000045776
Germany,2020,DE,5.59038019180298
Germany,2021,DE,5.45488977432251
Germany,2022,DE,4.54389047622681
Japan,2018,JP,3.07782006263733
Japan,2019,JP,3.15533995628357
Japan,2020,JP,3.30628991127014
Japan,2021,JP,3.33563995361328
Japan,2022,JP,3.23762130737305
Netherlands,2018,NL,5.35764980316162
Netherlands,2019,NL,5.15986013412476
Netherlands,2020,NL,5.42381000518799
Netherlands,2021,NL,5.50609016418457
Netherlands,2022,NL,5.05201101303101
New Zealand,2018,NZ,5.19308996200562
New Zealand,2019,NZ,5.17797994613647
New Zealand,2020,NZ,5.65149021148682
New Zealand,2021,NZ,5.54822015762329
New Zealand,2022,NZ,5.23012018203735
Russia,2018,RU,4.67819976806641
Russia,2019,RU,3.69561433792114
Russia,2020,RU,4.01641845703125
Russia,2021,RU,3.99480700492859
Russia,2022,RU,4.05402755737305
Singapore,2018,SG,2.85660004615784
Singapore,2019,SG,2.72951006889343
Singapore,2020,SG,2.6869900226593
Singapore,2021,SG,2.82470989227295
Singapore,2022,SG,2.48891997337341
South Korea,2018,KR,4.45807981491089
South Korea,2019,KR,4.68465995788574
South Korea,2020,KR,4.8017201423645
South Korea,2021,KR,4.86627006530762
South Korea,2022,KR,
Sweden,2018,SE,7.64084005355835
Sweden,2019,SE,7.63851022720337
Sweden,2020,SE,7.92561006546021
Sweden,2021,SE,7.57219982147217
Sweden,2022,SE,
Switzerland,2018,CH,4.93008995056152
Switzerland,2019,CH,5.01438999176025
Switzerland,2020,CH,5.27676010131836
Switzerland,2021,CH,5.03708982467651
Switzerland,2022,CH,4.88824462890625
Taiwan,2018,TW,5.8
Taiwan,2019,TW,5.8
Taiwan,2020,TW,5.9
Taiwan,2021,TW,6.0
Taiwan,2022,TW,6.0
United Kingdom,2018,GB,5.20437002182007
United Kingdom,2019,GB,5.26115989685059
United Kingdom,2020,GB,5.43935012817383
United Kingdom,2021,GB,5.90458011627197
United Kingdom,2022,GB,4.95917558670044
United States,2018,US,4.89502000808716
United States,2019,US,4.95746994018555
United States,2020,US,5.39998006820679
United States,2021,US,5.42829990386963
United States,2022,US,
